# This data can be accessed openly but users of the data are requested to acknowledge the Canadian Space Agency and the CANOPUS team in their publications.
# The following CANOPUS reference paper should also be cited: 
# Rostoker G. et al. (1993) CANOPUS - a ground-based instrument array for remote sensing the high latitude ionosphere during the ISTP/GGS program
# Site Lat Long yyyymmdd CoordSys Units no of records
 RANK 62.824 267.890 19860118 GEODETIC nT 15104
 
# Date(dd/mm/yyyy),time(hh:mi:ss),X,Y,Z,F=. if the data is valid anything else the data is suspect.
1986/01/18,03:17:16,410.400,-0.100,0.000,.
1986/01/18,03:17:21,-547.600,-0.100,-1.100,.
1986/01/18,03:17:26,-820.900,0.000,-1.700,.
1986/01/18,03:17:31,-136.900,0.000,-1.200,.
1986/01/18,03:17:36,820.400,-0.100,-0.100,.
1986/01/18,03:17:41,1093.700,-0.100,0.500,.
1986/01/18,03:17:46,410.400,-0.100,0.000,.
1986/01/18,03:17:51,-547.600,-0.100,-1.100,.
1986/01/18,03:17:56,-820.900,0.000,-1.700,.
1986/01/18,03:18:01,-136.900,0.000,-1.200,.
1986/01/18,03:18:06,820.400,-0.100,-0.100,.
1986/01/18,03:18:11,1093.700,-0.100,0.500,.
1986/01/18,03:18:16,410.400,-0.100,0.000,.
1986/01/18,03:18:21,-547.600,-0.100,-1.100,.
1986/01/18,03:18:26,-820.900,0.000,-1.700,.
1986/01/18,03:18:31,-136.900,0.000,-1.200,.
1986/01/18,03:18:36,820.400,-0.100,-0.100,.
1986/01/18,03:18:41,1093.700,-0.100,0.500,.
1986/01/18,03:18:46,410.400,-0.100,0.000,.
1986/01/18,03:18:51,-547.600,-0.100,-1.100,.
1986/01/18,03:18:56,-820.900,0.000,-1.700,.
1986/01/18,03:19:01,-136.900,0.000,-1.200,.
1986/01/18,03:19:06,820.400,-0.100,-0.100,.
1986/01/18,03:19:11,1093.700,-0.100,0.500,.
1986/01/18,03:19:16,410.400,-0.100,0.000,.
1986/01/18,03:19:21,-547.600,-0.100,-1.100,.
1986/01/18,03:19:26,-820.900,0.000,-1.700,.
1986/01/18,03:19:31,-136.900,0.000,-1.200,.
1986/01/18,03:19:36,820.400,-0.100,-0.100,.
1986/01/18,03:19:41,1093.700,-0.100,0.500,.
1986/01/18,03:19:46,410.400,-0.100,0.000,.
1986/01/18,03:19:51,-547.600,-0.100,-1.100,.
1986/01/18,03:19:56,-820.900,0.000,-1.700,.
1986/01/18,03:20:01,-136.900,0.000,-1.200,.
1986/01/18,03:20:06,820.400,-0.100,-0.100,.
1986/01/18,03:20:11,1093.700,-0.100,0.500,.
1986/01/18,03:20:16,410.400,-0.100,0.000,.
1986/01/18,03:20:21,-547.600,-0.100,-1.100,.
1986/01/18,03:20:26,-820.900,0.000,-1.700,.
1986/01/18,03:20:31,-136.900,0.000,-1.200,.
1986/01/18,03:20:36,820.400,-0.100,-0.100,.
1986/01/18,03:20:41,1093.700,-0.100,0.500,.
1986/01/18,03:20:46,410.400,-0.100,0.000,.
1986/01/18,03:20:51,-547.600,-0.100,-1.100,.
1986/01/18,03:20:56,-820.900,0.000,-1.700,.
1986/01/18,03:21:01,-136.900,0.000,-1.200,.
1986/01/18,03:21:06,820.400,-0.100,-0.100,.
1986/01/18,03:21:11,1093.700,-0.100,0.500,.
1986/01/18,03:21:16,410.400,-0.100,0.000,.
1986/01/18,03:21:21,-547.600,-0.100,-1.100,.
1986/01/18,03:21:26,-820.900,0.000,-1.700,.
1986/01/18,03:21:31,-136.900,0.000,-1.200,.
1986/01/18,03:21:36,820.400,-0.100,-0.100,.
1986/01/18,03:21:41,1093.700,-0.100,0.500,.
1986/01/18,03:21:46,410.400,-0.100,0.000,.
1986/01/18,03:21:51,-547.600,-0.100,-1.100,.
1986/01/18,03:21:56,-820.900,0.000,-1.700,.
1986/01/18,03:22:01,-136.900,0.000,-1.200,.
1986/01/18,03:22:06,820.400,-0.100,-0.100,.
1986/01/18,03:22:11,1093.700,-0.100,0.500,.
1986/01/18,03:22:16,410.400,-0.100,0.000,.
1986/01/18,03:22:21,-547.600,-0.100,-1.100,.
1986/01/18,03:22:26,-820.900,0.000,-1.700,.
1986/01/18,03:22:31,-136.900,0.000,-1.200,.
1986/01/18,03:22:36,820.400,-0.100,-0.100,.
1986/01/18,03:22:41,1093.700,-0.100,0.500,.
1986/01/18,03:22:46,410.400,-0.100,0.000,.
1986/01/18,03:22:51,-547.600,-0.100,-1.100,.
1986/01/18,03:22:56,-820.900,0.000,-1.700,.
1986/01/18,03:23:01,-136.900,0.000,-1.200,.
1986/01/18,03:23:06,820.400,-0.100,-0.100,.
1986/01/18,03:23:11,1093.700,-0.100,0.500,.
1986/01/18,03:23:16,410.400,-0.100,0.000,.
1986/01/18,03:23:21,-547.600,-0.100,-1.100,.
1986/01/18,03:23:26,-820.900,0.000,-1.700,.
1986/01/18,03:23:31,-136.900,0.000,-1.200,.
1986/01/18,03:23:36,820.400,-0.100,-0.100,.
1986/01/18,03:23:41,1093.700,-0.100,0.500,.
1986/01/18,03:23:46,410.400,-0.100,0.000,.
1986/01/18,03:23:51,-547.600,-0.100,-1.100,.
1986/01/18,03:23:56,-820.900,0.000,-1.700,.
1986/01/18,03:24:01,-136.900,0.000,-1.200,.
1986/01/18,03:24:06,820.400,-0.100,-0.100,.
1986/01/18,03:24:11,1093.700,-0.100,0.500,.
1986/01/18,03:24:16,410.400,-0.100,0.000,.
1986/01/18,03:24:21,-547.600,-0.100,-1.100,.
1986/01/18,03:24:26,-820.900,0.000,-1.700,.
1986/01/18,03:24:31,-136.900,0.000,-1.200,.
1986/01/18,03:24:36,820.400,-0.100,-0.100,.
1986/01/18,03:24:41,1093.700,-0.100,0.500,.
1986/01/18,03:24:46,410.400,-0.100,0.000,.
1986/01/18,03:24:51,-547.600,-0.100,-1.100,.
1986/01/18,03:24:56,-820.900,0.000,-1.700,.
1986/01/18,03:25:01,-136.900,0.000,-1.200,.
1986/01/18,03:25:06,820.400,-0.100,-0.100,.
1986/01/18,03:25:11,1093.700,-0.100,0.500,.
1986/01/18,03:25:16,410.400,-0.100,0.000,.
1986/01/18,03:25:21,-547.600,-0.100,-1.100,.
1986/01/18,03:25:26,-820.900,0.000,-1.700,.
1986/01/18,03:25:31,-136.900,0.000,-1.200,.
1986/01/18,03:25:36,820.400,-0.100,-0.100,.
1986/01/18,03:25:41,1093.700,-0.100,0.500,.
1986/01/18,03:25:46,410.400,-0.100,0.000,.
1986/01/18,03:25:51,-547.600,-0.100,-1.100,.
1986/01/18,03:25:56,-820.900,0.000,-1.700,.
